Cluster,StockCode,Quantity,Rank,Description
0.0,21212,9203,5.0,PACK OF 72 RETROSPOT CAKE CASES
0.0,22178,9788,4.0,VICTORIAN GLASS HANGING T-LIGHT
0.0,22197,9958,3.0,SMALL POPCORN HOLDER
0.0,22197,9958,3.0,POPCORN HOLDER
0.0,22616,14554,1.0,PACK OF 12 LONDON TISSUES 
0.0,85099B,10430,2.0,JUMBO BAG RED RETROSPOT
1.0,15036,4664,5.0,ASSORTED COLOURS SILK FAN
1.0,84077,6055,2.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
1.0,84879,6456,1.0,ASSORTED COLOUR BIRD ORNAMENT
1.0,84946,5010,4.0,ANTIQUE SILVER TEA GLASS ETCHED
1.0,84946,5010,4.0,ANTIQUE SILVER T-LIGHT GLASS
1.0,85123A,5572,3.0,WHITE HANGING HEART T-LIGHT HOLDER
1.0,85123A,5572,3.0,CREAM HANGING HEART T-LIGHT HOLDER
2.0,21212,8354,5.0,PACK OF 72 RETROSPOT CAKE CASES
2.0,22197,12270,2.0,SMALL POPCORN HOLDER
2.0,22197,12270,2.0,POPCORN HOLDER
2.0,84077,18480,1.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
2.0,84879,10526,3.0,ASSORTED COLOUR BIRD ORNAMENT
2.0,85099B,10352,4.0,JUMBO BAG RED RETROSPOT
